cv_id,account_id,list_id,created_date,updated_date,use_ad,have_mini_cv
10322,18946843,,1/5/2021,1/5/2021,0,0
10323,18952990,,1/5/2021,1/5/2021,0,0
10324,878711,,1/5/2021,1/5/2021,0,0
10325,18958113,,1/5/2021,1/5/2021,0,0
10326,10558239,,1/5/2021,1/5/2021,0,0
10327,18654192,,1/5/2021,1/5/2021,0,0
10328,18889478,,1/5/2021,1/5/2021,0,0
10329,15020240,,1/5/2021,1/5/2021,0,0
10330,2822011,,1/5/2021,1/5/2021,0,0
10331,18597757,,1/5/2021,1/18/2021,0,0
10332,17054374,,1/5/2021,1/5/2021,0,0
10333,18959620,,1/5/2021,1/5/2021,0,0
10334,18951438,,1/5/2021,1/5/2021,0,0
10335,2712965,,1/5/2021,1/5/2021,0,0
10336,3261166,,1/5/2021,1/5/2021,0,0
10337,9637587,,1/5/2021,1/20/2021,1,0
10338,18960287,,1/5/2021,1/5/2021,0,0
10339,18959204,,1/5/2021,1/5/2021,1,0
10340,17065221,,1/5/2021,1/5/2021,0,0
10341,10066336,,1/5/2021,1/5/2021,0,0
10342,10545786,,1/5/2021,1/5/2021,0,0
10343,18961791,,1/5/2021,1/5/2021,0,0
10344,9634981,,1/5/2021,1/5/2021,0,0
10345,18864240,,1/5/2021,1/5/2021,0,0
10346,17610678,,1/5/2021,1/5/2021,0,0
10347,17585836,,1/5/2021,1/5/2021,0,0
10348,1471331,,1/5/2021,1/5/2021,0,0
10349,17366913,,1/5/2021,1/5/2021,0,0
10350,18158877,,1/5/2021,1/5/2021,0,0
10351,920646,,1/5/2021,1/5/2021,0,0
10352,18683532,,1/5/2021,1/5/2021,0,0
10353,16938903,,1/5/2021,1/25/2021,0,1
10354,18533434,,1/5/2021,1/5/2021,0,0
10355,13324790,,1/5/2021,1/5/2021,0,0
10356,540364,,1/5/2021,1/5/2021,0,0
10357,13979696,,1/5/2021,1/5/2021,0,0
10358,1122014,,1/5/2021,1/20/2021,0,0
10359,18966290,,1/6/2021,1/7/2021,1,0
10360,18957898,,1/6/2021,1/6/2021,0,0
10361,16952285,,1/6/2021,1/6/2021,0,0
10362,4057865,,1/6/2021,1/6/2021,1,0
10363,5097436,,1/6/2021,1/6/2021,0,0
10364,18967798,,1/6/2021,1/6/2021,0,0
10365,18967783,,1/6/2021,1/6/2021,0,0
10366,9575426,,1/6/2021,1/6/2021,0,0
10367,18967673,,1/6/2021,1/6/2021,0,0
10368,18815309,,1/6/2021,1/6/2021,0,0
10369,16839368,,1/6/2021,1/6/2021,0,1
10370,13967307,,1/6/2021,1/6/2021,1,0
10371,18969429,,1/6/2021,1/6/2021,0,0
10372,14597949,,1/6/2021,1/6/2021,1,0
10373,1542575,,1/6/2021,1/6/2021,0,0
10374,2602046,,1/6/2021,1/6/2021,1,0
10375,18970122,,1/6/2021,1/6/2021,0,0
